entry_time,exit_time,entry_action,exit_action,entry_price,exit_price,pnl,trade_journey
2025-07-25 10:43:00+05:30,2025-07-25 10:54:00+05:30,BUY,SELL,24866.35,24862.3,-4.049999999999272,"[{'time': '2025-07-25 10:43:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 10:44:00+05:30', 'pnl': 7.150000000001455}, {'time': '2025-07-25 10:45:00+05:30', 'pnl': 1.1500000000014552}, {'time': '2025-07-25 10:46:00+05:30', 'pnl': 1.4000000000014552}, {'time': '2025-07-25 10:47:00+05:30', 'pnl': -1.2999999999992724}, {'time': '2025-07-25 10:48:00+05:30', 'pnl': 4.200000000000728}, {'time': '2025-07-25 10:49:00+05:30', 'pnl': 8.55000000000291}, {'time': '2025-07-25 10:50:00+05:30', 'pnl': 12.0}, {'time': '2025-07-25 10:51:00+05:30', 'pnl': 8.850000000002183}, {'time': '2025-07-25 10:52:00+05:30', 'pnl': 3.850000000002183}, {'time': '2025-07-25 10:53:00+05:30', 'pnl': 1.9000000000014552}, {'time': '2025-07-25 10:54:00+05:30', 'pnl': -4.049999999999272}]"
2025-07-25 10:54:00+05:30,2025-07-25 11:00:00+05:30,SELL,BUY,24862.3,24875.0,-12.700000000000728,"[{'time': '2025-07-25 10:54:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 10:55:00+05:30', 'pnl': -3.0}, {'time': '2025-07-25 10:56:00+05:30', 'pnl': -2.2999999999992724}, {'time': '2025-07-25 10:57:00+05:30', 'pnl': -3.0499999999992724}, {'time': '2025-07-25 10:58:00+05:30', 'pnl': -5.299999999999272}, {'time': '2025-07-25 10:59:00+05:30', 'pnl': -7.950000000000728}, {'time': '2025-07-25 11:00:00+05:30', 'pnl': -12.700000000000728}]"
2025-07-25 11:00:00+05:30,2025-07-25 11:11:00+05:30,BUY,SELL,24875.0,24870.15,-4.849999999998545,"[{'time': '2025-07-25 11:00:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 11:01:00+05:30', 'pnl': -11.200000000000728}, {'time': '2025-07-25 11:02:00+05:30', 'pnl': -4.200000000000728}, {'time': '2025-07-25 11:03:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 11:04:00+05:30', 'pnl': 0.6500000000014552}, {'time': '2025-07-25 11:05:00+05:30', 'pnl': 7.150000000001455}, {'time': '2025-07-25 11:06:00+05:30', 'pnl': 15.650000000001455}, {'time': '2025-07-25 11:07:00+05:30', 'pnl': 10.0}, {'time': '2025-07-25 11:08:00+05:30', 'pnl': 12.5}, {'time': '2025-07-25 11:09:00+05:30', 'pnl': 8.0}, {'time': '2025-07-25 11:10:00+05:30', 'pnl': 1.7000000000007276}, {'time': '2025-07-25 11:11:00+05:30', 'pnl': -4.849999999998545}]"
2025-07-25 11:11:00+05:30,2025-07-25 11:20:00+05:30,SELL,BUY,24870.15,24883.05,-12.899999999997817,"[{'time': '2025-07-25 11:11:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 11:12:00+05:30', 'pnl': -0.19999999999708962}, {'time': '2025-07-25 11:13:00+05:30', 'pnl': 6.0}, {'time': '2025-07-25 11:14:00+05:30', 'pnl': 1.6500000000014552}, {'time': '2025-07-25 11:15:00+05:30', 'pnl': 5.55000000000291}, {'time': '2025-07-25 11:16:00+05:30', 'pnl': 14.400000000001455}, {'time': '2025-07-25 11:17:00+05:30', 'pnl': 12.900000000001455}, {'time': '2025-07-25 11:18:00+05:30', 'pnl': 4.450000000000728}, {'time': '2025-07-25 11:19:00+05:30', 'pnl': -8.349999999998545}, {'time': '2025-07-25 11:20:00+05:30', 'pnl': -12.899999999997817}]"
2025-07-25 11:20:00+05:30,2025-07-25 11:34:00+05:30,BUY,SELL,24883.05,24872.45,-10.599999999998545,"[{'time': '2025-07-25 11:20:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 11:21:00+05:30', 'pnl': 2.75}, {'time': '2025-07-25 11:22:00+05:30', 'pnl': 3.150000000001455}, {'time': '2025-07-25 11:23:00+05:30', 'pnl': 2.600000000002183}, {'time': '2025-07-25 11:24:00+05:30', 'pnl': 5.600000000002183}, {'time': '2025-07-25 11:25:00+05:30', 'pnl': 1.9000000000014552}, {'time': '2025-07-25 11:26:00+05:30', 'pnl': -3.5}, {'time': '2025-07-25 11:27:00+05:30', 'pnl': 0.5499999999992724}, {'time': '2025-07-25 11:28:00+05:30', 'pnl': -2.4500000000007276}, {'time': '2025-07-25 11:29:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 11:30:00+05:30', 'pnl': 9.25}, {'time': '2025-07-25 11:31:00+05:30', 'pnl': 31.650000000001455}, {'time': '2025-07-25 11:32:00+05:30', 'pnl': 9.549999999999272}, {'time': '2025-07-25 11:33:00+05:30', 'pnl': -8.700000000000728}, {'time': '2025-07-25 11:34:00+05:30', 'pnl': -10.599999999998545}]"
2025-07-25 11:34:00+05:30,2025-07-25 11:56:00+05:30,SELL,BUY,24872.45,24845.15,27.299999999999272,"[{'time': '2025-07-25 11:34:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 11:35:00+05:30', 'pnl': 3.350000000002183}, {'time': '2025-07-25 11:36:00+05:30', 'pnl': 2.100000000002183}, {'time': '2025-07-25 11:37:00+05:30', 'pnl': 10.299999999999272}, {'time': '2025-07-25 11:38:00+05:30', 'pnl': 11.75}, {'time': '2025-07-25 11:39:00+05:30', 'pnl': 7.350000000002183}, {'time': '2025-07-25 11:40:00+05:30', 'pnl': 13.850000000002183}, {'time': '2025-07-25 11:41:00+05:30', 'pnl': 15.350000000002183}, {'time': '2025-07-25 11:42:00+05:30', 'pnl': 8.799999999999272}, {'time': '2025-07-25 11:43:00+05:30', 'pnl': 6.049999999999272}, {'time': '2025-07-25 11:44:00+05:30', 'pnl': 7.0}, {'time': '2025-07-25 11:45:00+05:30', 'pnl': 10.450000000000728}, {'time': '2025-07-25 11:46:00+05:30', 'pnl': 14.5}, {'time': '2025-07-25 11:47:00+05:30', 'pnl': 33.70000000000073}, {'time': '2025-07-25 11:48:00+05:30', 'pnl': 40.35000000000218}, {'time': '2025-07-25 11:49:00+05:30', 'pnl': 34.20000000000073}, {'time': '2025-07-25 11:50:00+05:30', 'pnl': 31.350000000002183}, {'time': '2025-07-25 11:51:00+05:30', 'pnl': 34.54999999999927}, {'time': '2025-07-25 11:52:00+05:30', 'pnl': 36.79999999999927}, {'time': '2025-07-25 11:53:00+05:30', 'pnl': 29.25}, {'time': '2025-07-25 11:54:00+05:30', 'pnl': 27.0}, {'time': '2025-07-25 11:55:00+05:30', 'pnl': 25.850000000002183}, {'time': '2025-07-25 11:56:00+05:30', 'pnl': 27.299999999999272}]"
2025-07-25 11:56:00+05:30,2025-07-25 12:00:00+05:30,BUY,SELL,24845.15,24839.65,-5.5,"[{'time': '2025-07-25 11:56:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 11:57:00+05:30', 'pnl': -2.8000000000029104}, {'time': '2025-07-25 11:58:00+05:30', 'pnl': -3.0500000000029104}, {'time': '2025-07-25 11:59:00+05:30', 'pnl': 1.3999999999978172}, {'time': '2025-07-25 12:00:00+05:30', 'pnl': -5.5}]"
2025-07-25 12:00:00+05:30,2025-07-25 12:05:00+05:30,SELL,BUY,24839.65,24848.15,-8.5,"[{'time': '2025-07-25 12:00:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 12:01:00+05:30', 'pnl': 3.900000000001455}, {'time': '2025-07-25 12:02:00+05:30', 'pnl': 1.5}, {'time': '2025-07-25 12:03:00+05:30', 'pnl': 3.0}, {'time': '2025-07-25 12:04:00+05:30', 'pnl': -2.6999999999970896}, {'time': '2025-07-25 12:05:00+05:30', 'pnl': -8.5}]"
2025-07-25 12:05:00+05:30,2025-07-25 12:09:00+05:30,BUY,SELL,24848.15,24834.85,-13.30000000000291,"[{'time': '2025-07-25 12:05:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 12:06:00+05:30', 'pnl': -2.9500000000007276}, {'time': '2025-07-25 12:07:00+05:30', 'pnl': -6.80000000000291}, {'time': '2025-07-25 12:08:00+05:30', 'pnl': -8.25}, {'time': '2025-07-25 12:09:00+05:30', 'pnl': -13.30000000000291}]"
2025-07-25 12:09:00+05:30,2025-07-25 12:13:00+05:30,SELL,BUY,24834.85,24843.65,-8.80000000000291,"[{'time': '2025-07-25 12:09:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 12:10:00+05:30', 'pnl': 1.1499999999978172}, {'time': '2025-07-25 12:11:00+05:30', 'pnl': -7.75}, {'time': '2025-07-25 12:12:00+05:30', 'pnl': -4.55000000000291}, {'time': '2025-07-25 12:13:00+05:30', 'pnl': -8.80000000000291}]"
